プラットフォーム等コード,プラットフォーム名等
JKR025,PENACOVA
JKR026,THREETIMES
JKR027,THEVERLIN
JKR028,MITUNOLENS
JKR029,RELX
JKR030,DEAR DILLY
JKR031,BIGC
JKR032,MWAVE
JKR033,MY MUSIC TASTE
JKR034,HENU JAPAN/SHOPIFY
JKR035,K-STORE/CAFE24
JKR036,XODIARK/CAFE24
JKR037,YES 24
JKR038,MUAE
JKR039,ENPRANI
JKR040,MINI RECORD
JKR041,AMUSE
JKR042,FOURCOMPANY JP
JKR043,WCONCEPT KOREA
JKR044,BEAUTYOFJOSEON
JKR045,ADER ERROR
JKR046,"ABSORBLAB CO., LTD."
JKR047,LIILY
JKR048,COLN
JKR049,BIBICON.NET
JKR050,TOLCORE
JKR051,I-LENS
JKR052,DESIGN SKIN
JKR053,YESEYESEE.COM
JKR054,COMICLAND
JKR055,THISISNEVERTHAT
JKR056,KHAKIS
JKR057,SUNLOVE
JKR058,LOADINGROOM
JKR059,GGSTORE.COM
JKR060,KONNY
JKR061,BUDHI MUDRA JAPAN
JKR062,NUGU
JKR063,ASCLO JAPAN
JKR064,HOLY IN CODE
JKR065,SHOPPERLAN:D
JKR066,HAVEHAD
JKR067,TOTO&ROY
JKR068,VT COSMETICS
JKR069,FIED WORLD
JKR070,GLOWISHERE
JKR071,KUME JAPAN.COM
JKR072,GDS.
JKR073,POCAMARKET
JKR074,VEASLY
JKR075,FANS
JKR076,GOOSEKET
JKR077,NUMBERING
JKR078,"ARCHIVEPKE			"
JKR079,APRICOTSTUDIOS
JKR080,GENGSHOP
JKR081,TIGERNATION SHOP
JKR082,HOLICHOLIC
JKR083,DAILY&CO
JKR084,DOTINK JAPAN OFFICIAL STORE
JKR085,MERRY FRIDAY
JKR086,ZAENIO
JKR087,THUGCLUB
JKR088,ROMAN MOOD
JKR089,MARPPLE.COM
JKR090,MARPPLE.SHOP
JKR091,FILLINTHEBLANK
JKR092,VERDALTO.COM
JKR093,NOUARTE
JKR094,AEPSA OFFICIAL STORE
JKR095,USS2
JKR096,AUBEREVE
JKR097,BCAESAR-SHOP
JKW001,FABRIC OF SOCIETY COMPANY
JLT001,HAUTICA
JLT002,BURGA
JLV001,AZERON
JLV002,MADARA COSMETICS
JMA001,BACHA COFFEE
JMC001,APMMONACO
JMC002,MDC MONACO
JMY001,CY TWO THOUSAND MARKETING
JMY002,TITAN STAR RESOURCES SDN BHD
JMY003,TASCO BERHAD
JMY004,YOUNG LIVING ESSENTIAL OILS
JNL001,BURTON 2CV PARTS
JNL002,CARLIJNQ
JNL003,RITUALS COSMETICS ENTERPRISE
JNL004,MWS B.V.
JNL005,ERG MEDIA B.V.
JNL006,WA NETHERLANDS B.V
JNL007,VAN DEN BAN
JNL008,MAIN STORY
JNL009,PARACORD.EU
JNL010,VERSTAPPEN.COM
JNL011,GOSOAKY
JNL012,MARJOLEIN DELHAAS
JNL013,RUSH HOUR
JNL014,SONIC RENDEZ VOUS
JNL015,SPROET&SPROUT
JNO001,REMARKABLE
JNO002,SCANDI CANDY
JNO003,TIM WENDELBOE AS
JNZ001,AG1 NEW ZEALAND LTD
JNZ002,GOODLIDS
JNZ003,VELOBIKE INNOVATION LIMITED
JNZ004,MITOQ LIMITED
JNZ005,MOREPORKS
JNZ006,XPANDSTORE.COM
JNZ007,CUTEHART.COM
JNZ008,BEAUTY MONSTER
JPK001,LAAM PVT LTD
JPL001,GATE
JPL002,GOODY WOODY
JPL003,ARWENA ON-LINE
JPL004,VITKAC.COM
JPL005,WHITEOAK HANDBOARDS
JPT001,POETIC HARMONY
JPT002,FPF PORTUGAL STORE
JRU001,SV LLC
JSE001,OUR LEGACY
JSE002,MARSHALL
JSE003,MYRKL
JSE005,MINI RODINI
JSE006,VIS (SHANGHAI) TECHNOLOGY LIMITED
JSE007,NA-KD
JSE008,STICKERAPP
JSE009,NUDIENT
JSG001,SHEIN
JSG002,BEYOND THE VINES
JSG003,TWG TEA
JSG004,TAO
JSG005,LENSLABO
JSG006,SATURDAYCLUB SINGAPORE
JSG007,UNICITY
JSG008,EDDELUX PTE LTD 
JSG009,THE EDITOR'S MARKET PTE LTD 
JSG010,ANOTHERSOLE INTERNATIONAL PTE LTD 
JSG011,BY INVITE ONLY 
JSG012,THEORY INC PTE LTD 
JSG013,DINT
JSG014,BWL ONLINE SYSTEMS PTE. LTD
JSG015,OMIGHTY
JSG016,DELUGS
JSG017,LUNOJI
JSG018,LOVEBONITO SINGAPORE PTE LTD
JSG019,DOVER STREET MARKET (SINGAPORE) PTE LTD
JSG020,SOMETHING TO HOLD PTE LTD
JSG021,J&CO JEWELLERY
JSG022,SHORTCUTX
JSG023,STILLGOODS
JSI001,LM TEK
JTH001,"MICROCHIP TECHNOLOGY THAILAND CO.,LTD."
JTR001,GALEN LEATHER
JTR002,ICE YARNS
JTW001,ETRADEHUB
JTW002,ZENLET CO. LTD.
JTW003,"TAIHAO ENTERPRISE CO.,LTD"
JUS001,IHERB
JUS002,A24
JUS003,JAZZERCISE APPAREL
JUS004,HYPERLITE MOUNTAIN GEAR
JUS005,ENLIGHTENED EQUIPMENT
JUS006,BIXME
JUS007,THE ROW
JUS008,J&CO.
JUS009,CORP COUTURE
JUS010,CORAL&TUSK
JUS011,JOAH BROWN
JUS012,BLACKBOUGH SWIM
JUS013,CROWN AWARDS
JUS014,CORSAIR
JUS015,ELEVE DANCEWEAR
JUS016,BRIDGE PUBLICATIONS
JUS017,HULT
JUS018,CHROME HEARTS
JUS019,GORILLA MIND
JUS020,SIRUI
JUS021,K L WINE
JUS022,1800CPAP.COM
JUS023,BLACK EMBER
JUS024,BOEING STORE
JUS025,GREENWELL FARMS
JUS026,DENTCRAFT TOOLS
JUS027,BALANCED BODY
JUS028,A MA MANIERE
JUS029,BEAST ACADEMY
JUS030,HARRY WINSTON
JUS031,ASRV
JUS032,STORE HORSEMEN
JUS033,MAGBAK
JUS034,RICHARDSON SHOP
JUS035,BIGSCREEN
JUS036,B&H PHOTO VIDEO AUDIO
JUS037,BRAND ADDITION
JUS038,SHIPITO
JUS039,APPLEMUSIC
JUS040,EZTOYS
JUS041,DIABOLIK DVD
JUS042,BRANDBUCKET
JUS043,TRIANGL
JUS044,BEHAPPY!!!
JUS045,SHOP OCS
JUS046,SMILE US
JUS047,"URBAN OUTFITTERS, INC."
JUS048,PRINTIFY
JUS049,TOUCHSTONE ESSENTIALS
JUS050,YOUNGEVITY
JUS051,PRUVIT
JUS052,LOVEBIOME
JUS053,TM3 UNITED
JUS054,SUPER PATCH
JUS055,AMANATOOL
JUS056,LUMIN
JUS057,TRAINZ
JUS058,TURNTABLE LAB
JUS059,BLOOM NUTRITION
JUS060,DL1961
JUS061,LITTLE CHONK
JUS062,MADEWELL
JUS063,MVMT
JUS064,RUELALA
JUS065,"ANTHROPOLOGIE, INC."
JUS066,CLOTH & PAPER
JUS067,FUTUREBIOTICS
JUS068,GIFT FROM NEW YORK
JUS069,J.CREW
JUS070,LIMITED RUN GAMES
JUS071,SAKS FIFTH AVENUE
JUS072,"VERA BRADLEY SALES, LLC."
JUS073,VICTORIA'S SECRET
JUS074,ATM COLLECTION
JUS075,OLE HENRIKSEN
JUS076,THE DONNA KARAN COMPANY STORE LLC
JUS077,PIPING ROCK
JUS078,ACE HARDWARE
JUS079,BULK SUPPLEMENTS
JUS080,"AG1 (USA), INC."
JUS081,WE ARE AMMA
JUS082,CHIRP
JUS083,DRMTLGY
JUS084,ECZEMA HONEY CO
JUS085,FRAGRANT JEWELS
JUS086,LOS ANGELES APPAREL
JUS087,ORCHID EIGHT
JUS088,WILDLING
JUS089,BACK TA BASICS
JUS090,BODI CAFE
JUS091,WINGSTUFF.COM
JUS092,"FASHION NOVA, LLC "
JUS093,MARUHIDE
JUS094,BEST WIGSUSA
JUS095,HASHIGO WORKS
JUS096,THE INCONVENIENCE STORE
JUS097,POWERHOUSE GYM LAS VEGAS
JUS098,KAWASAKI
JUS099,WINE NOSE CLUB
JUS100,NIPPON DENTAL
JUS101,UPSTAIRS TENT
JUS102,SHIKA-MALL.COM
JUS103,SMARTFUN.COM
JUS104,SUPMART
JUS105,WORKS U.S.A.
JUS106,YOUNGLA
JUS107,HEALTHY SUPPORT
JUS108,PUBLIC REC
JUS109,"SKIMS BODY, INC."
JUS110,TOMBOYX
JUS111,"VEGAMOUR, INC."
JUS112,VINTAGE COMPUTER INC.
JUS113,SUPLINX CORP
JUS114,ABC STORES
JUS115,ALOHA FABRICS HULA & CRAFTS
JUS116,AT DAWN.
JUS117,BIG ISLAND CANDIES
JUS118,CRUSH WAIKIKI
JUS119,ECOENTERPRISE LLC
JUS120,HONOLULU COOKIE COMPANY
JUS121,HONOLULU JEWELRY COMPANY
JUS122,LIILIILEA
JUS123,US DENTAL EXPRESS
JUS124,MISA'S FASHION CAFE 
JUS125,BEAUTYLISH
JUS126,ORITZ GIFT SERVICES
JUS127,KONGSGAARD WINE
JUS128,FLORA OPTIMA
JUS129,NU SKIN
JUS130,BEST PRICE NUTRITION
JUS131,ASTROHAUS INC.
JUS132,GAMER SUPPS INC. 
JUS133,"SKINCO, LLC"
JUS134,NUTSAC
JUS135,"SUPPLY CO.,"
JUS136,SUPPLEMENT WAREHOUSE
JUS137,TARTE INC.
JUS138,TROPIC OF C
JUS139,URSA MAJOR
JUS140,INGRAM BOOK GROUP LLC
JUS141,BCBGMAXAZRIA
JUS142,OPTIMUM NUTRITION
JUS143,HOVERCAT APPAREL LLC
JUS144,ALLIANCE ENTERTAINMENT LLC
JUS145,ORIGO SHOES
JUS146,FULLBEAUTY BRANDS
JUS147,FENTY BEAUTY
JUS148,"NORDSTROM, INC."
JUS149,ZUBAL BOOKS
JUS150,SOLAWAVE
JUS151,4LIFE RESEARCH
JUS152,ACTIVZ
JUS153,ASEA GLOBAL
JUS154,LIVEPURE
JUS155,NEUMI
JUS156,BODE PRO
JUS157,"NUTRITIONAL LIFE LINES, INC."
JUS158,"III INTERNATIONAL, LLC"
JUS159,MY DESTINY PRODUCTS LLC
JUS160,TRUVY
JUS161,"FAIRWAY GOLF, INC"
JUS162,SBS SPORTS
JUS163,CALI TESORO
JUS164,PAI FULFILLMENT
JUS165,VALABASAS
JUS166,GNUHR
JUS167,MISHA AND PUFF
JUS168,"AQ SKIN SOLUTIONS, INC."
JUS169,DERBY OF SAN FRANCISCO
JUS170,MICROSOFT
JUS171,HIDDEN PPF
JUS172,RECREATIONAL EQUIPMENT INC
JUS173,C/O STELLAE INTERNATIONAL INC.
JUS174,DISTRICT VISION
JUS175,AMERICAN INTAKE
JUS176,MERCHNOW
JUS177,CATBIRD
JUS178,TARTE COSMETICS
JUS179,JENNY BIRD
JUS180,NO MAINTENANCE CORP.
JUS181,"LIMITLESS AI,"
JUS182,"WOOTING STORE, INC."
JUS183,BORN X RAISE
JUS184,"UMG RECORDINGS SERVICES, INC"
JUS185,BAGGU
JUS186,"NOMAD GOODS, INC."
JUS187,JACOB & CO.
JUS188,MOJOBREAK
JUS189,ATLAS HEADREST
JUS190,ALITZIA LP
JUS191,"GUAPI CLOTHING FZ-LLC, INC"
JUS192,"ASSOCIATED ELECTRICS, INC"
JUS193,YUBICO
JUS194,KAHALA
JUS195,"LULU PRESS, INC."
JUS196,PRINTFUL INC
JUS197,ADDGENE
JUS198,MOOJIMOOJIUS
JUS199,PLEASURESNOW
JUS200,PARTRICK TA BEAUTY
JUS201,BEDROCK SANDALS LLC
JUS202,INNO SUPPS
JUS203,AROMA360
JUS204,JUNL BRANDS
JUS205,CORAL AND TUSK
JUS206,WANDRD GEAR
JUS207,MANNATECH JAPAN G.K.
JUS208,ZAZZLE INC
JUS209,STEWMAC
JUS210,MERCOLA MARKEMER
JUS211,"NOVELKEYS, LLC"
JUS212,RINGSIDE COLLECTIBLES
JUS213,STATIC MEDIUM
JUS214,COACH OUTLET
JUS215,CARCAJOU TACTICAL
JUS216,FENO
JUS217,NUTRABIO
JUS218,100 THIEVES
JUS219,UNCOMMON GOODS
JUS220,VKTRY
JUS221,BLENDERS
JUS222,GORUCK
JUS223,R.E.M. BEAUTY
JUS224,WOXER
JUS225,BICYCLE HERO
JUS226,THE OPAL TROVE/SHOPIFY
JUS227,CALERIE LIFE
JUS228,LANCASTER ARCHERY SUPPLY
JUS229,BOWL KEYBOARDS /SHOPIFY
JUS230,OVERLAND GEAR GUY/SHOPIFY
JUS231,OFFICIAL PIX/SHOPIFY
JUS232,SILKY GEM CRYSTAL CANDY/SHOPIFY
JUS233,90 PLUS WINE CLUB
JUS234,ALICE + OLIVIA
JUS235,ALLIED MEDAL HANGERS
JUS236,AMERICAN RAG CIE
JUS237,AMSALE
JUS238,ANGEL COMPETITION BIKINIS
JUS239,APPARIS
JUS240,BOWLERSMART
JUS241,DARK ENTRIES RECORDS
JUS242,DAVID YURMAN
JUS243,DVD FANTASIUM
JUS244,END GAME CURLING
JUS245,FERREE'S TOOL INC.
JUS246,FOOLPROOF BRAND
JUS247,HAPPY LITTLE MOTHER
JUS248,HARDIES HARDWARE
JUS249,HIRSHLEIFERS
JUS250,HOWL FABRIC
JUS251,INTERNATIONAL PHARMACY.COM
JUS252,KIDS ATELIER
JUS253,LAS OLITAS
JUS254,LAST NIGHT GAMES
JUS255,LUXYURI
JUS256,MANNAHATTA NYC
JUS257,MANUAL
JUS258,MARC JACOBS
JUS259,MARK SMITH TURQUOISE
JUS260,MIRACLE BOTANICALS
JUS261,MSCHF
JUS262,NEXUSWOODWIND
JUS263,NIK BENTEL STUDIO
JUS264,NOTHIN'SPECIA
JUS265,OGLEBY SISTERS SOAP
JUS266,PACO MOTORSPORTS
JUS267,PAULA SKENE DESIGNS
JUS268,PROSPECTIVE FLOW
JUS269,RITE-HITE
JUS270,SMALLHD
JUS271,SPACE OF TIME STUDIO
JUS272,STOMPBOXPARTS
JUS273,STREETWEAR
JUS274,SV77
JUS275,TEN TWENTY 3D
JUS276,THE AESTHETIC DOLLAR
JUS277,THE WEBSTER
JUS278,THREAT LLAMA
JUS279,UNDERWORLD SUBROXXA
JUS280,UTECH RECORDS
JUS281,VERSA GRIPPS
JUS282,XLCS DESIGNS
JUS283,YOBO GEAR
JUS284,ARIANA GRANDE OFFICIAL STORE
JUS285,FRANK ZAPPA OFFICIAL STORE
JUS286,GRACIE ABRAMS OFFICIAL STORE
JUS287,KESHI OFFICIAL STORE
JUS288,NINE INCH NAILS OFFICIAL STORE
JUS289,OLIVIA RODRIGO OFFICIAL STORE
JUS290,QOTSA OFFICIAL STORE
JUS291,RIHANNA OFFICIAL STORE
JUS292,SELENA GOMEZ OFFICIAL STORE
JUS293,SLIPKNOT OFFICIAL STORE
JUS294,TAYLOR SWIFT OFFICIAL STORE
JUS295,CROSSTONER
JUS296,DARKHAUS
JUS297,FOUND
JUS298,INFINITY MICE
JUS299,PRAYING
JUS300,THE PIN UNIVERSE
JUS301,H+S COFFEE ROASTERS
JUS302,DEREK HUGGER
JUS303,ALOHA SHIRT SHOP
JUS304,BAD TIME RECORDS
JUS305,ZENNI
JVN001,GOLDIE VIETNAM
PAE001,EMIRATES OFFICIAL STORE
PAT001,BAMBINIFASHION.COM
PAU001,CETTIRE
PAU002,SENSO
PAU003,BUTTER GOODS PTY LTD
PAU004,LONELYPLANET
PBR001,FUTFANATICS
PCA001,HAVEN
PCA002,NINETIMES SKATESHOP
PCH001,APRIS GMBH INTERNATIONAL TRADING
PCN002,ALIEXPRESS
PCN003,"SHENZHEN XIN RUI ZHI INDUSTRIAL CO., LTD"
PCN004,"DONGGUAN YIYI TECHNOLOGY CO., LTD"
PCN005,1688
PCN006,"CHINA GUARDIAN AUCTIONS CO., LTD"
PCN007,XIAOLIZI
PCN008,MOVIE MARKET INC.
PCN009,THE CKB
PCN010,AMYLOVEDIY.COM
PCN011,HKTDC.COM SOURCING
PCN012,PINDUODUO
PCZ001,"EVATON, S.R.O."
PCZ002,ERGO PRODUCT
PDE001,MYTHERESA
PDE002,AFEW
PDE003,IMPERICON
PDE004,HIGHSNOBIETY
PDE005,WHISKYAUCTION.Com
PDE006,AMS AUTO GMBH
PDE007,AQUA COMPUTER
PDK001,NORSE STORE
PDK002,ARCHITECTMADE
PDK003,NOMA PROJECTS
PDK004,LOUISIANA MUSEUM OF MODERN ART
PDK005,POSTER & FRAME ART GROUP
PDK006,THE POSTER CLUB
PDK007,ASETEK
PDK008,DESIGN EYEWEAR GROUP
PDK009,STOY
PES001,AMMAREAL
PFI001,FINNISH DESIGN SHOP
PFI002,AYUMU.OY
PFI003,VARUSTE.NET
PFI004,KALEVALA KORU
PFR001,THALES
PFR002,GLAMUSE
PFR003,PRESTIGE CELLAR
PFR004,24S.COM
PFR005,MONNIER
PFR006,FD
PFR007,AXAL / ALCANTARA & RITZ
PFR008,FFT C/O L4 LOGISTIQUE
PFR009,ROSE PASSION
PFR010,L'ETIQUETTE
PFR011,OTTO MOBILE
PFR012,MYCOMPANERO.COM
PFR013,THE GRADUATE STORE
PGB001,SSENSE
PGB002,GLOBAL E
PGB003,FARFETCH
PGB004,SUPREME IMPORTS
PGB005,END.
PGB006,ELISEPARTS
PGB007,JUNO
PGB008,BLEEP STORES
PGB009,SELFRIDGES&C
PGB010,SPECIALITY DRINKS
PGB011,ASOS
PGB012,HARRODS
PGB013,HAVRE DE LUXE
PGB014,CPI
PGB015,UVU CLUB
PGB016,MEMENTO EXCLUSIVES
PGB017,WHISKY AUCTIONEER LTD
PGB018,MINI SPARES CENTRE
PGB019,REDPOST EQUESTRIAN
PGB020,LPG CLINICS WHOLESALE LTD
PGB021,CHILDSPLAY CLOTHING
PGB022,MARANELLO CLASSIC PARTS
PGB023,FLEEK
PGB024,JASON ANDERSON ARTIST
PGB025,CRTZRTW
PGB026,MATCHWORNSHIRT
PGB027,CHAOSCARDS
PGB028,MOTACLAN
PHK001,JUICE STORE
PHK002,HYPEBEAST
PHK003,TSANG CHRISTINE (NOVELSHIP)
PHK004,KICKS CREW IINC.
PHK005,YI JIA INTERNATIONAL
PHK006,HBX
PID001,SUKOU MINI
PIN001,INDIAN ABUNDANCE
PIN002,FNP
PIN003,INDIAMART SHOPPING
PIN004,PRAGATI HEALTHCARE
PIN005,INDOPHILIA PRIVATE LIMITED
PIN006,HINDUSTAN BOOK AGENCY
PIN007,NOVAGRAAF
PIR001,AIRLAND
PIT001,RESIDENZA 725
PIT002,LUISAVIAROMA
PIT003,GIGLIO
PIT004,GENIAL MOTOR
PIT005,YOOX NET-A-PORTER GROUP
PIT006,THE DOUBLE F
PIT007,DIANA
PIT008,SLAMJAM C/O SNATT
PIT009,ITASERV B.V.
PIT010,JULIAN FASHION SRL
PIT011,MOTOSTORM SRL
PIT012,LAUDORACING MODELS
PIT013,OTK SHOP
PIT014,SOUNDOHM
PIT015,OPTICA OPTIMA
PIT016,DUOMO
PIT017,AFAD
PIT018,ANDREA PICCININI
PIT019,BERNOCCHI SNC
PJP001,RAKUTEN
PJP002,QOO10
PJP003,BUYMA
PJP004,STOCK X
PJP005,YAHOO! SHOPPING
PJP006,JEANS FACTORY
PJP007,PHOTOBOOK 
PJP008,YAHOO! AUCTIONS
PJP009,SATURNSPARK NVS
PJP011,NETSEA
PJP012,WOWMA
PJP013,ZOZOTOWN
PJP014,BOOTH
PJP015,AUPAY MARKET
PJP016,MERCARI
PJP017,ICONS
PJP018,AMOOD
PJP019,YAHOO! FREEMARKET
PJP020,SUCRERIES
PJP021,IPPO.
PJP022,CREEMA
PJP023,SHOPLIST
PJP024,LOCONDO
PJP025,082+
PKE001,ARTISAN COLLECTIVE LTD
PKR001,GVG
PKR002,ADORELUX
PKR003,ADDICTED
PKR004,ALADIN COMMUNICATION
PKR005,SILICON II
PKR006,CJ OLIVEYOUNG
PKR007,AMOREPACIFIC
PKR008,SW TREND
PKR009,BENOW
PKR010,MEDICARELABS
PKR011,U DRESSER
PKR012,KYOBO BOOK CENTRE
PKR013,ENIGMO INC.
PKR014,DELIVERED KOREA
PKR015,BY LENS.ME.
PKR016,TAKSE
PKR017,ABLY
PKR018,IDUS
PKW001,UBUY CO
PLV001,CARS245
PMY001,JOUNALPAGES
PMY002,SLACKERS BREW ENTERPRISE
PNL001,STICHD
PNL002,ARTIPOPPE
PNL003,AVANT ARTE
PNL004,CMS
PNL005,BRICKSDIRECT
PNL006,FREE BIRDS
PNL007,SNOWCOUNTRY
PNL008,RRC MUSIC CO.
PNO001,TOM WOOD
PNO002,NORRONA C/O DSV
PNZ001,GLOBAL GRABZONE
PNZ002,RINGA RINGA SOAP
PNZ003,VAPESPOT
PNZ004,PODLYFE
PPL001,ARCHON STUDIO
PPL002,GWD CONCEPT SP Z O.O.
PPT001,MINGA LONDON
PSE001,AUCTIONET
PSE002,DESENIO
PSE003,OLEND
PSE004,SNEAKERSNSTUFF
PSE005,NORDIC NEST AB
PSG001,TEMU
PSG002,ETOREN
PSG003,TIK TOK SHOP
PSG004,UNDO HAIRWARE
PSG005,KRISSHOP PTE. LTD. (KSECC)
PSG006,ELSEVIER INC
PTH001,THAI SUBLIMATION
PTH002,"THAICD ONLINE LTD.,PART."
PTW001,ESLITE
PTW002,INVINCIBLE CREATIVE CO. LTD
PTW003,JOWUA INTERNATIONAL LIMITED TAIWAN BRANCH
PTW004,"PRESCO NETMARKETING,INC."
PTW005,KUNG FU MERCH
PUS001,AMAZON
PUS002,ROCKAUTO.COM
PUS003,KITH
PUS004,EBAY
PUS005,PITNEY BOWES
PUS006,GOAT:SNEAKERS
PUS007,BORDERFREE
PUS008,DIGIKEY
PUS009,SUMMIT RACING EQUIPMENT
PUS010,FUN
PUS011,HAL LEONARD
PUS012,ECS TUNING
PUS013,FANGAMER
PUS014,KAVISO
PUS015,ACOUSTIC SOUNDS
PUS016,BASS PRO SHOP
PUS017,CHARITYSTARS
PUS018,BIGBADTOYSTORE
PUS019,DUSTY GROOVE
PUS020,JEGS
PUS022,IFIXIT
PUS023,ACUSHNET CHOLDINGS CORP.
PUS024,DLT
PUS025,GLIDING EAGLE
PUS026,DEATHWISH INC
PUS027,USHOPMALL
PUS028,LINEFRIENDS
PUS029,JOYCE
PUS030,ATELIER
PUS031,MYUS.COM
PUS032,PEAK DESIGN
PUS033,GRAILED
PUS034,FISHISFAST
PUS035,SEKAIMON
PUS037,NEWEGG INC
PUS038,SHIPPING MANAGER
PUS039,CHRISTIANBOOK
PUS040,VERY SPECIAL C/O ROAM
PUS041,PP/RL FULFILLMENT
PUS042,COMPLEX
PUS043,DIAMOND ART CLUB
PUS044,TOPPS. 
PUS045,CARD KINGDOM AND MOX BOARDING HOUSE.  
PUS046,GOOD THANKS
PUS047,KLICKANDSELL E-COMMERCE GMBH
PUS048,ARTDESIGNA
PUS049,"AUTOSALES, INCORPORATED"
PUS050,RIPNDIP
PUS051,"1661, INC."
PUS052,BRAIN DEAD
PUS053,PELICAN PARTS LLC
PUS054,JACK'S SURFBOARDS.
PUS055,"MOUSTER ELECTRONICS, INC."
PUS056,STOCKX.
PUS057,ACUSHNET HOLDINGS CORP.
PUS058,CONSOLIDATED MOTOR SPARES B.V.
PUS059,MASTER OF MALT
PUS060,"RECORDS BY MAIL, LLC"
PUS061,"ETSY, INC"
PUS062,NOBLE KNIGHT
PUS063,VINEGAR SYNDROME 
PUS064,KNIFE CENTER INC.
PUS065,REVERBCOM LLC
PUS066,ALO YOGA
PUS067,LAKERSSTORE.COM
PUS068,NAMIFY
PUS069,POLAR PRO
PUS070,HERITAGE AUCTIONS
PUS071,TRADE WORKS ASIA LIMITED.
